id,title,author,location,section,category_name,available,image
20,Chronicles of Quantum Mechanics,Alice Jones,"3rd floor, 3rd compartment, 4th box",Section-A (Computer Science),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BQuantum%2BMechanics
21,Advanced Financial Markets,Ivan Williams,"2nd floor, 2nd compartment, 5th box",Section-C (Agriculture),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BFinancial%2BMarkets
22,Introduction to Sustainable Living,Frank Taylor,"3rd floor, 1st compartment, 3rd box",Section-B(Pharmacy),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BSustainable%2BLiving
23,Science of Financial Markets,Ivan Wilson,"2nd floor, 3rd compartment, 5th box",Section-C (Agriculture),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BFinancial%2BMarkets
24,Chronicles of Quantum Mechanics,Diana Brown,"4th floor, 2nd compartment, 3rd box",Section-A (Computer Science),Self-Help,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BQuantum%2BMechanics
25,Mystery of Modern Physics,Charlie Williams,"2nd floor, 2nd compartment, 8th box",Section-A (Computer Science),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BModern%2BPhysics
26,Mystery of Ancient Civilizations,Alice Taylor,"1st floor, 5th compartment, 1st box",Section-E(BBA/MBA),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BAncient%2BCivilizations
27,Mystery of Human Behavior,Frank Wilson,"3rd floor, 3rd compartment, 5th box",Section-E(BBA/MBA),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BHuman%2BBehavior
28,Fundamentals of Machine Learning,Bob Taylor,"4th floor, 3rd compartment, 1st box",Section-A (Computer Science),Biography,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BMachine%2BLearning
29,History of Blockchain,Judy Taylor,"3rd floor, 4th compartment, 6th box",Section-A (Computer Science),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BBlockchain
30,Science of Data Science,Heidi Brown,"2nd floor, 5th compartment, 5th box",Section-D(Politics),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BData%2BScience
31,Adventures in Data Science,Diana Davis,"3rd floor, 3rd compartment, 2nd box",Section-A (Computer Science),Self-Help,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BData%2BScience
32,Science of Data Science,Frank Taylor,"4th floor, 2nd compartment, 8th box",Section-B(Pharmacy),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BData%2BScience
33,Mystery of Digital Marketing,Eve Davis,"1st floor, 1st compartment, 7th box",Section-A (Computer Science),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BDigital%2BMarketing
34,Art of Quantum Mechanics,Heidi Jones,"3rd floor, 2nd compartment, 1st box",Section-A (Computer Science),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BQuantum%2BMechanics
35,Advanced Ancient Civilizations,Charlie Jones,"1st floor, 5th compartment, 5th box",Section-B(Pharmacy),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BAncient%2BCivilizations
36,Journey to the Stars,Judy Brown,"1st floor, 2nd compartment, 1st box",Section-D(Politics),Research Paper,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2Bthe%2BStars
37,Chronicles of the Stars,Eve Brown,"3rd floor, 3rd compartment, 3rd box",Section-B(Pharmacy),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2Bthe%2BStars
38,Mystery of Quantum Mechanics,Grace Williams,"3rd floor, 5th compartment, 5th box",Section-E(BBA/MBA),Business,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BQuantum%2BMechanics
39,Adventures in Machine Learning,Alice Williams,"2nd floor, 3rd compartment, 6th box",Section-C (Agriculture),Research Paper,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BMachine%2BLearning
40,The Secret Ancient Civilizations,Judy Wilson,"4th floor, 1st compartment, 5th box",Section-C (Agriculture),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BAncient%2BCivilizations
41,Understanding Financial Markets,Alice Moore,"1st floor, 3rd compartment, 2nd box",Section-B(Pharmacy),Science and Technology,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BFinancial%2BMarkets
42,Journey to Blockchain,Judy Smith,"3rd floor, 3rd compartment, 6th box",Section-A (Computer Science),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BBlockchain
43,Understanding Sustainable Living,Charlie Taylor,"3rd floor, 4th compartment, 1st box",Section-A (Computer Science),Business,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BSustainable%2BLiving
44,Chronicles of Human Behavior,Charlie Smith,"3rd floor, 5th compartment, 6th box",Section-B(Pharmacy),Research Paper,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BHuman%2BBehavior
45,Fundamentals of Human Behavior,Eve Wilson,"3rd floor, 5th compartment, 3rd box",Section-C (Agriculture),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BHuman%2BBehavior
46,Science of Artificial Intelligence,Diana Smith,"3rd floor, 1st compartment, 7th box",Section-E(BBA/MBA),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BArtificial%2BIntelligence
47,Fundamentals of the Stars,Eve Wilson,"1st floor, 3rd compartment, 7th box",Section-B(Pharmacy),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2Bthe%2BStars
48,Art of Blockchain,Ivan Miller,"3rd floor, 3rd compartment, 7th box",Section-A (Computer Science),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BBlockchain
49,Introduction to Sustainable Living,Eve Johnson,"3rd floor, 2nd compartment, 1st box",Section-C (Agriculture),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BSustainable%2BLiving
50,The Secret Human Behavior,Frank Williams,"1st floor, 5th compartment, 8th box",Section-A (Computer Science),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BHuman%2BBehavior
51,Guide to Modern Physics,Frank Smith,"4th floor, 1st compartment, 8th box",Section-C (Agriculture),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BModern%2BPhysics
52,Adventures in Quantum Mechanics,Diana Taylor,"1st floor, 3rd compartment, 3rd box",Section-D(Politics),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BQuantum%2BMechanics
53,Understanding Human Behavior,Alice Williams,"3rd floor, 1st compartment, 8th box",Section-B(Pharmacy),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BHuman%2BBehavior
54,History of Human Behavior,Eve Wilson,"3rd floor, 3rd compartment, 4th box",Section-E(BBA/MBA),Business,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BHuman%2BBehavior
55,Guide to Financial Markets,Diana Williams,"2nd floor, 1st compartment, 3rd box",Section-E(BBA/MBA),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BFinancial%2BMarkets
56,Introduction to the Stars,Heidi Williams,"4th floor, 5th compartment, 1st box",Section-B(Pharmacy),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2Bthe%2BStars
57,Understanding Artificial Intelligence,Bob Davis,"1st floor, 5th compartment, 7th box",Section-C (Agriculture),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BArtificial%2BIntelligence
58,Science of the Stars,Grace Taylor,"4th floor, 3rd compartment, 3rd box",Section-A (Computer Science),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2Bthe%2BStars
59,Fundamentals of Artificial Intelligence,Alice Jones,"4th floor, 3rd compartment, 7th box",Section-D(Politics),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BArtificial%2BIntelligence
60,Art of Artificial Intelligence,Frank Williams,"2nd floor, 1st compartment, 2nd box",Section-E(BBA/MBA),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BArtificial%2BIntelligence
61,Understanding Financial Markets,Judy Miller,"3rd floor, 3rd compartment, 3rd box",Section-A (Computer Science),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BFinancial%2BMarkets
62,Fundamentals of Blockchain,Charlie Davis,"1st floor, 2nd compartment, 8th box",Section-D(Politics),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BBlockchain
63,Fundamentals of Human Behavior,Judy Miller,"1st floor, 2nd compartment, 6th box",Section-D(Politics),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BHuman%2BBehavior
64,Science of Artificial Intelligence,Alice Smith,"3rd floor, 2nd compartment, 5th box",Section-B(Pharmacy),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BArtificial%2BIntelligence
65,Chronicles of Artificial Intelligence,Heidi Johnson,"2nd floor, 1st compartment, 1st box",Section-C (Agriculture),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BArtificial%2BIntelligence
66,Journey to Human Behavior,Eve Davis,"1st floor, 2nd compartment, 6th box",Section-A (Computer Science),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BHuman%2BBehavior
67,Exploring Digital Marketing,Diana Smith,"2nd floor, 2nd compartment, 3rd box",Section-E(BBA/MBA),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BDigital%2BMarketing
68,Understanding Ancient Civilizations,Diana Miller,"4th floor, 1st compartment, 1st box",Section-C (Agriculture),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BAncient%2BCivilizations
69,Art of Blockchain,Eve Williams,"2nd floor, 3rd compartment, 6th box",Section-B(Pharmacy),Thriller,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BBlockchain
70,Chronicles of Quantum Mechanics,Alice Taylor,"2nd floor, 2nd compartment, 3rd box",Section-B(Pharmacy),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BQuantum%2BMechanics
71,Mystery of Machine Learning,Diana Brown,"3rd floor, 1st compartment, 6th box",Section-C (Agriculture),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BMachine%2BLearning
72,Journey to Ancient Civilizations,Eve Davis,"4th floor, 1st compartment, 8th box",Section-A (Computer Science),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BAncient%2BCivilizations
73,Science of Human Behavior,Grace Miller,"2nd floor, 4th compartment, 5th box",Section-A (Computer Science),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BHuman%2BBehavior
74,Science of Artificial Intelligence,Ivan Davis,"1st floor, 3rd compartment, 6th box",Section-D(Politics),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BArtificial%2BIntelligence
75,History of Human Behavior,Bob Davis,"1st floor, 5th compartment, 5th box",Section-B(Pharmacy),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BHuman%2BBehavior
76,Advanced Modern Physics,Eve Wilson,"1st floor, 2nd compartment, 6th box",Section-A (Computer Science),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BModern%2BPhysics
77,Fundamentals of Machine Learning,Judy Jones,"4th floor, 3rd compartment, 8th box",Section-C (Agriculture),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BMachine%2BLearning
78,Exploring Sustainable Living,Ivan Moore,"1st floor, 1st compartment, 3rd box",Section-B(Pharmacy),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BSustainable%2BLiving
79,Science of Machine Learning,Eve Moore,"4th floor, 2nd compartment, 2nd box",Section-E(BBA/MBA),Science and Technology,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BMachine%2BLearning
80,Guide to Digital Marketing,Diana Moore,"3rd floor, 3rd compartment, 5th box",Section-E(BBA/MBA),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BDigital%2BMarketing
81,Introduction to the Stars,Frank Wilson,"1st floor, 4th compartment, 7th box",Section-A (Computer Science),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2Bthe%2BStars
82,Introduction to Artificial Intelligence,Grace Taylor,"1st floor, 1st compartment, 1st box",Section-B(Pharmacy),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BArtificial%2BIntelligence
83,Adventures in Modern Physics,Grace Taylor,"1st floor, 5th compartment, 1st box",Section-E(BBA/MBA),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BModern%2BPhysics
84,The Secret Quantum Mechanics,Grace Taylor,"4th floor, 3rd compartment, 1st box",Section-E(BBA/MBA),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BQuantum%2BMechanics
85,Guide to Sustainable Living,Grace Davis,"3rd floor, 4th compartment, 3rd box",Section-B(Pharmacy),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BSustainable%2BLiving
86,Journey to Ancient Civilizations,Ivan Taylor,"3rd floor, 2nd compartment, 8th box",Section-E(BBA/MBA),Manual,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BAncient%2BCivilizations
87,Fundamentals of Sustainable Living,Heidi Jones,"3rd floor, 4th compartment, 6th box",Section-D(Politics),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BSustainable%2BLiving
88,Science of Modern Physics,Bob Williams,"3rd floor, 1st compartment, 7th box",Section-E(BBA/MBA),Thriller,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BModern%2BPhysics
89,The Secret Digital Marketing,Ivan Smith,"4th floor, 5th compartment, 7th box",Section-E(BBA/MBA),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BDigital%2BMarketing
90,Chronicles of Quantum Mechanics,Ivan Wilson,"1st floor, 3rd compartment, 7th box",Section-B(Pharmacy),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BQuantum%2BMechanics
91,Exploring Ancient Civilizations,Charlie Jones,"1st floor, 2nd compartment, 5th box",Section-B(Pharmacy),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BAncient%2BCivilizations
92,Adventures in Artificial Intelligence,Bob Brown,"3rd floor, 5th compartment, 8th box",Section-B(Pharmacy),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BArtificial%2BIntelligence
93,Introduction to Financial Markets,Frank Smith,"1st floor, 5th compartment, 3rd box",Section-D(Politics),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BFinancial%2BMarkets
94,Exploring the Stars,Alice Davis,"3rd floor, 4th compartment, 8th box",Section-E(BBA/MBA),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2Bthe%2BStars
95,Fundamentals of Sustainable Living,Grace Williams,"2nd floor, 3rd compartment, 4th box",Section-E(BBA/MBA),Article,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BSustainable%2BLiving
96,Advanced Modern Physics,Judy Williams,"1st floor, 5th compartment, 1st box",Section-D(Politics),Science and Technology,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BModern%2BPhysics
97,Chronicles of Ancient Civilizations,Diana Miller,"1st floor, 5th compartment, 3rd box",Section-B(Pharmacy),Business,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BAncient%2BCivilizations
98,Art of Financial Markets,Charlie Miller,"2nd floor, 3rd compartment, 7th box",Section-D(Politics),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BFinancial%2BMarkets
99,Journey to Financial Markets,Alice Brown,"2nd floor, 2nd compartment, 8th box",Section-D(Politics),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BFinancial%2BMarkets
100,Guide to Digital Marketing,Diana Taylor,"3rd floor, 3rd compartment, 3rd box",Section-E(BBA/MBA),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BDigital%2BMarketing
101,Science of Modern Physics,Frank Davis,"3rd floor, 3rd compartment, 4th box",Section-C (Agriculture),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BModern%2BPhysics
102,Art of Machine Learning,Charlie Smith,"3rd floor, 2nd compartment, 6th box",Section-B(Pharmacy),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BMachine%2BLearning
103,History of Machine Learning,Alice Wilson,"1st floor, 3rd compartment, 8th box",Section-A (Computer Science),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BMachine%2BLearning
104,Chronicles of Data Science,Heidi Brown,"4th floor, 3rd compartment, 6th box",Section-E(BBA/MBA),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BData%2BScience
105,Adventures in Digital Marketing,Alice Jones,"2nd floor, 2nd compartment, 3rd box",Section-C (Agriculture),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BDigital%2BMarketing
106,Advanced Quantum Mechanics,Charlie Smith,"1st floor, 3rd compartment, 4th box",Section-D(Politics),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BQuantum%2BMechanics
107,Guide to Machine Learning,Grace Smith,"3rd floor, 5th compartment, 6th box",Section-B(Pharmacy),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BMachine%2BLearning
108,Chronicles of the Stars,Diana Wilson,"3rd floor, 5th compartment, 1st box",Section-A (Computer Science),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2Bthe%2BStars
109,Exploring the Stars,Judy Jones,"3rd floor, 1st compartment, 7th box",Section-B(Pharmacy),Biography,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2Bthe%2BStars
110,History of Modern Physics,Charlie Wilson,"1st floor, 4th compartment, 5th box",Section-C (Agriculture),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BModern%2BPhysics
111,History of Financial Markets,Heidi Taylor,"3rd floor, 2nd compartment, 2nd box",Section-C (Agriculture),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BFinancial%2BMarkets
112,History of Blockchain,Bob Smith,"1st floor, 1st compartment, 7th box",Section-D(Politics),Business,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BBlockchain
113,Advanced Modern Physics,Heidi Taylor,"1st floor, 5th compartment, 1st box",Section-E(BBA/MBA),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BModern%2BPhysics
114,The Secret Sustainable Living,Ivan Wilson,"4th floor, 3rd compartment, 1st box",Section-C (Agriculture),Biography,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BSustainable%2BLiving
115,Understanding Ancient Civilizations,Diana Smith,"3rd floor, 4th compartment, 6th box",Section-E(BBA/MBA),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BAncient%2BCivilizations
116,Exploring Artificial Intelligence,Heidi Williams,"4th floor, 1st compartment, 2nd box",Section-D(Politics),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BArtificial%2BIntelligence
117,Journey to Quantum Mechanics,Alice Williams,"3rd floor, 1st compartment, 8th box",Section-C (Agriculture),Biography,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BQuantum%2BMechanics
118,The Secret Artificial Intelligence,Charlie Wilson,"2nd floor, 1st compartment, 5th box",Section-C (Agriculture),Business,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BArtificial%2BIntelligence
119,Guide to Quantum Mechanics,Judy Davis,"1st floor, 2nd compartment, 4th box",Section-B(Pharmacy),Article,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BQuantum%2BMechanics
120,Mystery of Human Behavior,Eve Williams,"4th floor, 4th compartment, 8th box",Section-A (Computer Science),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BHuman%2BBehavior
121,Understanding Financial Markets,Heidi Brown,"2nd floor, 4th compartment, 1st box",Section-B(Pharmacy),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BFinancial%2BMarkets
122,History of Human Behavior,Diana Jones,"4th floor, 1st compartment, 3rd box",Section-A (Computer Science),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BHuman%2BBehavior
123,Understanding Digital Marketing,Judy Wilson,"2nd floor, 2nd compartment, 1st box",Section-B(Pharmacy),Manual,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BDigital%2BMarketing
124,Advanced Machine Learning,Ivan Moore,"2nd floor, 1st compartment, 2nd box",Section-A (Computer Science),Self-Help,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BMachine%2BLearning
125,Science of Financial Markets,Ivan Brown,"1st floor, 2nd compartment, 4th box",Section-E(BBA/MBA),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BFinancial%2BMarkets
126,Exploring Human Behavior,Diana Taylor,"3rd floor, 5th compartment, 2nd box",Section-D(Politics),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BHuman%2BBehavior
127,Mystery of Modern Physics,Diana Jones,"4th floor, 1st compartment, 4th box",Section-B(Pharmacy),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BModern%2BPhysics
128,History of Quantum Mechanics,Alice Moore,"1st floor, 4th compartment, 5th box",Section-E(BBA/MBA),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BQuantum%2BMechanics
